es,gnome-i18n/extra-po/gdm2beta5,115,27,1
es,gedit/po,120,12,38
es,gfloppy/po,34,,
es,ggv/po,95,1,1
es,ghex/po,100,2,5
es,gimp/po,1231,80,50
es,gimp/po-libgimp,48,,
es,gimp/po-script-fu,14,146,263
es,gimp/po-plug-ins,179,89,2508
es,gimp-freetype/po,,,
es,glade/po,794,210,173
es,gnome-i18n/extra-po/gnapster,,,
es,gnome-applets/po,842,4,
es,gnome-chess/po,48,,
es,gnome-core/po,752,,
es,gnome-db/po,177,220,183
es,gnome-games/po,560,3,57
es,gnome-libs/po,377,,
es,gnome-lokkit/po,,,
es,gnome-media/po,249,,
es,gnome-pilot/po,116,57,114
es,gnome-pim/po,411,1,50
es,gnome-print/po,76,,
es,gnome-utils/po,679,11,3
es,gnome-vfs/po,,,
es,gnomeicu/po,548,22,10
es,gnorpm/po,277,,
es,gnumeric/po,1176,238,670
es,gphoto/po,,,
es,gtk+/po,106,1,9
es,gnome-i18n/extra-po/gtm,116,7,10
es,gtop/po,249,4,
es,gtranslator/po,,,
es,guppi3/po,2,1,134
es,gxsnmp/po,263,,
es,gnome-i18n/extra-po/helix-gdm2,150,,
es,helix-install/src/rpm-3.0.3/po,,,
es,libgtop/po,260,2,18
es,magicdev/po,11,,
es,mc/po,1507,,5
es,memprof/po,,,
es,nautilus/po,,,
es,pan/po,544,42,10
es,rp3/po,181,7,14
es,sodipodi/po,,,
es,gnome-i18n/extra-po/sawfish,337,55,45
es,gnome-i18n/extra-po/xchat,205,27,50
et,achtung/po,,,
et,balsa/po,297,39,37
et,bonobo/po,,,
et,bug-buddy/po,,,
et,control-center/po,300,3,4
et,dia/po,,,
et,dr-genius/po,,,
et,eog/po,45,,2
et,evolution/po,,,
et,gconf/po,,,
et,gdm2/po,129,18,1
et,gnome-i18n/extra-po/gdm2beta5,108,33,2
et,gedit/po,,,
et,gfloppy/po,,,
et,ggv/po,,,
et,ghex/po,79,11,17
et,gimp/po,,,
et,gimp/po-libgimp,,,
et,gimp/po-script-fu,,,
et,gimp/po-plug-ins,,,
et,gimp-freetype/po,,,
et,glade/po,,,
et,gnome-i18n/extra-po/gnapster,,,
et,gnome-applets/po,775,47,24
et,gnome-chess/po,,,
et,gnome-core/po,647,46,59
et,gnome-db/po,,,
et,gnome-games/po,561,20,39
et,gnome-libs/po,361,14,2
et,gnome-lokkit/po,,,
et,gnome-media/po,119,14,116
et,gnome-pilot/po,,,
et,gnome-pim/po,372,27,63
et,gnome-print/po,31,7,38
et,gnome-utils/po,344,123,226
et,gnome-vfs/po,,,
et,gnomeicu/po,,,
et,gnorpm/po,,,
et,gnumeric/po,507,456,1122
et,gphoto/po,,,
et,gtk+/po,104,2,10
et,gnome-i18n/extra-po/gtm,,,
et,gtop/po,,,
et,gtranslator/po,,,
et,guppi3/po,,,
et,gxsnmp/po,,,
et,gnome-i18n/extra-po/helix-gdm2,143,6,1
et,helix-install/src/rpm-3.0.3/po,,,
et,libgtop/po,,,
et,magicdev/po,,,
et,mc/po,,,
et,memprof/po,47,10,13
et,nautilus/po,,,
et,pan/po,,,
et,rp3/po,,,
et,sodipodi/po,49,20,107
et,gnome-i18n/extra-po/sawfish,,,
et,gnome-i18n/extra-po/xchat,,,
eu,achtung/po,,,
eu,balsa/po,,,
eu,bonobo/po,,,
eu,bug-buddy/po,,,
eu,control-center/po,,,
eu,dia/po,,,
eu,dr-genius/po,,,
eu,eog/po,,,
eu,evolution/po,,,
eu,gconf/po,,,
eu,gdm2/po,,,
eu,gnome-i18n/extra-po/gdm2beta5,,,
eu,gedit/po,,,
eu,gfloppy/po,,,
eu,ggv/po,,,
eu,ghex/po,,,
eu,gimp/po,,,
eu,gimp/po-libgimp,,,
eu,gimp/po-script-fu,,,
eu,gimp/po-plug-ins,,,
eu,gimp-freetype/po,,,
